dataset,segment_id,length
SWaT,21,35900
SWaT,22,121
SWaT,23,1171
SWaT,24,367
SWaT,25,601
SWaT,26,444
SWaT,27,101
SWaT,28,481
SWaT,29,540
SWaT,30,469
SWaT,31,281
SWaT,32,401
SWaT,33,297
SWaT,34,1690
